name,age,experience,city,role,education,industry,salary_lpa
Employee_1,50,26,Indore,HR Manager,Bachelor's,E-commerce,8.06
Employee_2,36,12,Delhi,HR Manager,M.Tech,Government,6.96
Employee_3,29,11,Hyderabad,QA Tester,12th/Diploma,IT Indian Company,5.71
Employee_4,42,17,Indore,Cloud Engineer,12th/Diploma,Government,4.87
Employee_5,40,23,Bhopal,DevOps Engineer,M.Tech,E-commerce,14.4
Employee_6,44,18,Hyderabad,Cloud Engineer,Bachelor's,IT Indian Company,11.08
Employee_7,32,14,Ahmedabad,Business Analyst,MBA,Government,6.72
Employee_8,32,7,Chennai,Cloud Engineer,MCA,IT MNC,10.32
Employee_9,45,18,Gurgaon,DevOps Engineer,BCA,Startup,13.46
Employee_10,57,9,Lucknow,Full Stack Developer,MCA,Startup,8.69
Employee_11,45,6,Gurgaon,QA Tester,12th/Diploma,E-commerce,4.35
Employee_12,24,17,Chennai,Product Manager,PhD,IT MNC,26.3
Employee_13,43,15,Jaipur,DevOps Engineer,Bachelor's,Fintech,7.34
Employee_14,23,19,Nagpur,Business Analyst,Bachelor's,IT MNC,10.06
Employee_15,45,26,Lucknow,QA Tester,PhD,Manufacturing,10.23
Employee_16,51,5,Gurgaon,AI Engineer,Bachelor's,E-commerce,8.4
Employee_17,23,26,Gurgaon,Product Manager,Bachelor's,IT MNC,19.49
Employee_18,42,8,Pune,Software Developer,MBA,Fintech,9.28
Employee_19,54,20,Pune,QA Tester,BCA,E-commerce,10.94
Employee_20,33,12,Chennai,Full Stack Developer,B.Tech,Startup,8.08
Employee_21,43,24,Nagpur,Software Developer,12th/Diploma,Healthcare,5.33
Employee_22,46,20,Bangalore,HR Manager,BCA,IT MNC,14.2
Employee_23,48,25,Indore,Business Analyst,MCA,Startup,10.64
Employee_24,49,7,Lucknow,Data Analyst,B.Tech,Startup,6.01
Employee_25,37,15,Bhopal,QA Tester,B.Tech,IT Indian Company,8.1
Employee_26,36,12,Delhi,ML Engineer,PhD,Fintech,19.51
Employee_27,24,12,Jaipur,Software Developer,Bachelor's,Manufacturing,4.62
Employee_28,28,16,Pune,Data Scientist,BCA,Healthcare,8.77
Employee_29,42,22,Pune,Cloud Engineer,PhD,IT MNC,22.81
Employee_30,30,19,Hyderabad,AI Engineer,MCA,Startup,18.11
Employee_31,39,4,Lucknow,Software Developer,Bachelor's,Startup,3.71
Employee_32,25,21,Delhi,Business Analyst,Bachelor's,Manufacturing,10.84
Employee_33,46,20,Lucknow,Software Developer,M.Tech,Fintech,13.95
Employee_34,35,27,Hyderabad,Data Analyst,M.Tech,Healthcare,14.25
Employee_35,30,16,Bhopal,HR Manager,M.Tech,Government,6.72
Employee_36,47,27,Bangalore,Cloud Engineer,MBA,Healthcare,21.63
Employee_37,23,8,Delhi,QA Tester,PhD,Manufacturing,7.2
Employee_38,41,1,Gurgaon,QA Tester,12th/Diploma,Startup,3.17
Employee_39,49,24,Hyderabad,Cloud Engineer,B.Tech,Startup,14.21
Employee_40,28,25,Ahmedabad,Data Analyst,MCA,Startup,12.52
Employee_41,29,17,Jaipur,DevOps Engineer,B.Tech,Startup,9.72
Employee_42,56,8,Gurgaon,Business Analyst,BCA,Government,5.91
Employee_43,35,5,Delhi,Data Analyst,12th/Diploma,IT Indian Company,4.34
Employee_44,38,10,Ahmedabad,Data Scientist,Bachelor's,IT Indian Company,7.22
Employee_45,57,24,Bangalore,Product Manager,12th/Diploma,Manufacturing,12.74
Employee_46,25,5,Indore,Data Scientist,Bachelor's,Healthcare,5.96
Employee_47,23,5,Ahmedabad,Data Analyst,PhD,E-commerce,7.3
Employee_48,27,12,Pune,ML Engineer,M.Tech,Government,9.2
Employee_49,25,10,Chennai,DevOps Engineer,12th/Diploma,Government,4.57
Employee_50,50,13,Ahmedabad,ML Engineer,Bachelor's,IT MNC,9.77
Employee_51,39,1,Nagpur,Data Scientist,B.Tech,,4.36
Employee_52,47,7,Kolkata,Cloud Engineer,M.Tech,E-commerce,9.77
Employee_53,55,2,Chandigarh,Data Scientist,M.Tech,IT Indian Company,5.27
Employee_54,31,22,Bangalore,Full Stack Developer,M.Tech,IT Indian Company,19.73
Employee_55,57,20,Chandigarh,HR Manager,B.Tech,IT Indian Company,8.62
Employee_56,35,2,Gurgaon,AI Engineer,B.Tech,E-commerce,7.41
Employee_57,52,0,Lucknow,Full Stack Developer,B.Tech,Government,2.63
Employee_58,36,23,Hyderabad,Data Analyst,M.Tech,IT Indian Company,15.67
Employee_59,29,18,Mumbai,Software Developer,12th/Diploma,E-commerce,7.54
Employee_60,35,17,Bangalore,ML Engineer,Bachelor's,IT Indian Company,13.3
Employee_61,44,16,Kolkata,Product Manager,B.Tech,Startup,13.23
Employee_62,42,19,Pune,Full Stack Developer,12th/Diploma,Government,6.26
Employee_63,37,23,Hyderabad,Business Analyst,Bachelor's,Startup,12.54
Employee_64,39,12,Indore,DevOps Engineer,M.Tech,IT MNC,12.97
Employee_65,45,2,Jaipur,ML Engineer,12th/Diploma,Government,2.79
Employee_66,47,0,Indore,Full Stack Developer,M.Tech,IT Indian Company,3.9
Employee_67,46,3,Lucknow,Cloud Engineer,MBA,Manufacturing,5.17
Employee_68,50,24,Indore,QA Tester,B.Tech,IT MNC,10.09
Employee_69,36,12,Lucknow,AI Engineer,BCA,E-commerce,8.58
Employee_70,22,16,Mumbai,Data Scientist,12th/Diploma,IT MNC,14.11
Employee_71,46,27,Ahmedabad,Data Scientist,B.Tech,IT Indian Company,13.83
Employee_72,28,10,Chandigarh,Full Stack Developer,MCA,E-commerce,8.02
Employee_73,30,1,Kolkata,Data Analyst,Bachelor's,Manufacturing,2.84
Employee_74,45,24,Lucknow,DevOps Engineer,MBA,E-commerce,14.01
Employee_75,22,15,Bhopal,Data Analyst,B.Tech,Startup,8.42
Employee_76,29,1,Ahmedabad,ML Engineer,MCA,E-commerce,5.84
Employee_77,45,18,Indore,HR Manager,12th/Diploma,E-commerce,6.47
Employee_78,32,22,Jaipur,AI Engineer,12th/Diploma,IT MNC,13.99
Employee_79,38,18,Bangalore,AI Engineer,MCA,Manufacturing,17.56
Employee_80,29,24,Chennai,Data Scientist,MBA,Healthcare,14.14
Employee_81,56,15,Kolkata,AI Engineer,MCA,E-commerce,10.89
Employee_82,56,21,Delhi,Data Analyst,Bachelor's,Fintech,10.17
Employee_83,54,18,Bhopal,DevOps Engineer,12th/Diploma,Healthcare,7.42
Employee_84,26,8,Gurgaon,DevOps Engineer,MCA,Startup,10.5
Employee_85,49,0,Indore,Data Scientist,BCA,Manufacturing,2.51
Employee_86,28,9,Delhi,Full Stack Developer,BCA,Manufacturing,5.91
Employee_87,30,18,Chennai,QA Tester,MCA,Government,8.03
Employee_88,29,0,Jaipur,DevOps Engineer,Bachelor's,Startup,2.99
Employee_89,33,1,Delhi,Data Analyst,12th/Diploma,E-commerce,3.31
Employee_90,55,15,Indore,Software Developer,BCA,IT MNC,8.05
Employee_91,54,11,Pune,Full Stack Developer,MCA,Healthcare,8.25
Employee_92,44,7,Kolkata,HR Manager,M.Tech,Government,4.58
Employee_93,45,22,Pune,Product Manager,MCA,Startup,22.72
Employee_94,56,17,Mumbai,Business Analyst,B.Tech,Startup,11.4
Employee_95,43,1,Indore,Cloud Engineer,MCA,Fintech,4.77
Employee_96,48,24,Chennai,AI Engineer,Bachelor's,E-commerce,15.46
Employee_97,56,12,Mumbai,AI Engineer,BCA,Government,8.9
Employee_98,22,5,Mumbai,Software Developer,B.Tech,Healthcare,5.68
Employee_99,56,20,Mumbai,Full Stack Developer,BCA,Startup,13.57
Employee_100,35,25,Lucknow,Data Scientist,BCA,Manufacturing,9.58
Employee_101,24,5,Nagpur,Data Analyst,Bachelor's,Startup,3.97
Employee_102,22,8,Bangalore,Software Developer,MCA,Startup,7.85
Employee_103,26,15,Bhopal,Cloud Engineer,Bachelor's,Startup,7.01
Employee_104,47,10,Lucknow,DevOps Engineer,MCA,Government,6.41
Employee_105,35,6,Bangalore,Data Scientist,B.Tech,IT MNC,12.81
Employee_106,48,9,Bhopal,Business Analyst,Bachelor's,IT Indian Company,5.07
Employee_107,30,9,Chennai,Business Analyst,Bachelor's,Fintech,8.04
Employee_108,36,24,Nagpur,Product Manager,M.Tech,Manufacturing,13.76
Employee_109,36,19,Indore,QA Tester,MBA,IT MNC,10.72
Employee_110,47,17,Bhopal,Data Scientist,12th/Diploma,,8.21
Employee_111,34,27,Bhopal,Software Developer,Bachelor's,Startup,9.89
Employee_112,53,23,Nagpur,HR Manager,MBA,Government,6.94
Employee_113,53,19,Bhopal,Software Developer,PhD,Fintech,13.35
Employee_114,25,8,Chandigarh,Software Developer,12th/Diploma,E-commerce,5.0
Employee_115,51,14,Hyderabad,Software Developer,M.Tech,E-commerce,14.0
Employee_116,44,3,Lucknow,Data Scientist,MCA,IT Indian Company,5.6
Employee_117,36,7,Delhi,Software Developer,PhD,IT Indian Company,9.78
Employee_118,50,8,Bangalore,Full Stack Developer,MCA,Fintech,11.84
Employee_119,57,12,Lucknow,Data Scientist,MCA,IT MNC,12.43
Employee_120,34,8,Ahmedabad,DevOps Engineer,MBA,IT MNC,11.49
Employee_121,53,25,Pune,Full Stack Developer,MBA,Startup,17.2
Employee_122,28,3,Lucknow,Cloud Engineer,12th/Diploma,IT MNC,4.25
Employee_123,43,16,Bangalore,DevOps Engineer,MCA,IT Indian Company,67.15362348796349
Employee_124,49,15,Jaipur,Product Manager,BCA,IT MNC,12.47
