name,age,experience,city,role,education,salary_lpa,city_tier,exp_level,age_group,edu_numeric,role_numeric
Employee_1,50,4,Hyderabad,DevOps,PhD,19.15,1,Junior,Expert,5,4
Employee_2,36,11,Bangalore,Data Scientist,12th/Diploma,16.91,1,Senior,Senior Career,1,6
Employee_3,29,16,Hyderabad,HR,12th/Diploma,15.84,1,Lead,Mid Career,1,1
Employee_4,42,16,Hyderabad,ML Engineer,12th/Diploma,11.58,1,Lead,Senior Career,1,7
Employee_5,40,9,Delhi,Software Developer,B.Tech,10.81,1,Senior,Senior Career,3,3
Employee_6,44,24,Jaipur,HR,MBA/M.Tech,4.0,2,Lead,Senior Career,4,1
Employee_7,32,22,Pune,HR,12th/Diploma,7.79,2,Lead,Mid Career,1,1
Employee_8,32,16,Hyderabad,DevOps,12th/Diploma,3.33,1,Lead,Mid Career,1,4
Employee_9,45,14,Delhi,Software Developer,Bachelor's,15.79,1,Senior,Senior Career,2,3
Employee_10,45,11,Jaipur,DevOps,B.Tech,5.33,2,Senior,Senior Career,3,4
Employee_11,24,15,Pune,Software Developer,B.Tech,22.21,2,Senior,Early Career,3,3
Employee_12,43,23,Hyderabad,DevOps,B.Tech,14.51,1,Lead,Senior Career,3,4
Employee_13,23,18,Hyderabad,Data Scientist,B.Tech,18.39,1,Lead,Early Career,3,6
Employee_14,45,7,Bangalore,ML Engineer,B.Tech,12.04,1,Mid,Senior Career,3,7
Employee_15,51,20,Bangalore,ML Engineer,B.Tech,15.33,1,Lead,Expert,3,7
Employee_16,23,16,Jaipur,Software Developer,B.Tech,23.74,2,Lead,Early Career,3,3
Employee_17,42,22,Pune,Data Analyst,B.Tech,4.82,2,Lead,Senior Career,3,5
Employee_18,54,4,Hyderabad,HR,B.Tech,8.59,1,Junior,Expert,3,1
Employee_19,33,21,Jaipur,HR,B.Tech,20.16,2,Lead,Mid Career,3,1
Employee_20,43,15,Jaipur,Software Developer,B.Tech,5.17,2,Senior,Senior Career,3,3
Employee_21,46,5,Mumbai,DevOps,B.Tech,4.66,1,Mid,Expert,3,4
Employee_22,48,7,Bangalore,Data Analyst,MBA/M.Tech,10.95,1,Mid,Expert,4,5
Employee_23,49,24,Pune,Data Scientist,MBA/M.Tech,5.03,2,Lead,Expert,4,6
Employee_24,37,17,Hyderabad,DevOps,PhD,15.87,1,Lead,Senior Career,5,4
Employee_25,36,24,Jaipur,DevOps,B.Tech,7.98,2,Lead,Senior Career,3,4
Employee_26,24,11,Hyderabad,Software Developer,12th/Diploma,22.71,1,Senior,Early Career,1,3
Employee_27,28,14,Mumbai,Software Developer,12th/Diploma,20.24,1,Senior,Mid Career,1,3
Employee_28,42,8,Pune,HR,MBA/M.Tech,18.39,2,Mid,Senior Career,4,1
Employee_29,30,12,Jaipur,Software Developer,PhD,16.57,2,Senior,Mid Career,5,3
Employee_30,39,14,Hyderabad,Software Developer,12th/Diploma,22.0,1,Senior,Senior Career,1,3
Employee_31,25,9,Bangalore,Software Developer,12th/Diploma,7.91,1,Senior,Early Career,1,3
Employee_32,46,15,Mumbai,HR,B.Tech,22.21,1,Senior,Expert,3,1
Employee_33,35,6,Pune,Data Scientist,Bachelor's,20.37,2,Mid,Mid Career,2,6
Employee_34,30,16,Mumbai,Data Scientist,MBA/M.Tech,19.46,1,Lead,Mid Career,4,6
Employee_35,47,22,Bangalore,Software Developer,MBA/M.Tech,15.35,1,Lead,Expert,4,3
Employee_36,23,20,Pune,HR,Bachelor's,8.42,2,Lead,Early Career,2,1
Employee_37,41,21,Mumbai,Data Scientist,12th/Diploma,12.32,1,Lead,Senior Career,1,6
Employee_38,49,6,Delhi,DevOps,B.Tech,20.46,1,Mid,Expert,3,4
Employee_39,28,13,Bangalore,Data Scientist,B.Tech,3.7,1,Senior,Mid Career,3,6
Employee_40,29,14,Bangalore,Data Scientist,MBA/M.Tech,20.21,1,Senior,Mid Career,4,6
Employee_41,35,20,Bangalore,HR,B.Tech,8.28,1,Lead,Mid Career,3,1
Employee_42,38,6,Delhi,DevOps,Bachelor's,6.17,1,Mid,Senior Career,2,4
Employee_43,25,8,Delhi,HR,12th/Diploma,5.55,1,Mid,Early Career,1,1
Employee_44,23,18,Hyderabad,Software Developer,Bachelor's,3.6,1,Lead,Early Career,2,3
Employee_45,27,15,Jaipur,ML Engineer,PhD,14.52,2,Senior,Mid Career,5,7
Employee_46,25,7,Mumbai,Data Scientist,MBA/M.Tech,7.8,1,Mid,Early Career,4,6
Employee_47,50,17,Hyderabad,ML Engineer,B.Tech,24.77,1,Lead,Expert,3,7
Employee_48,39,22,Mumbai,HR,PhD,15.64,1,Lead,Senior Career,5,1
Employee_49,47,17,Jaipur,HR,B.Tech,6.03,2,Lead,Expert,3,1
Employee_50,31,19,Delhi,HR,12th/Diploma,18.15,1,Lead,Mid Career,1,1
Employee_51,35,6,Jaipur,ML Engineer,12th/Diploma,13.305,2,Mid,Mid Career,1,7
Employee_52,52,2,Delhi,HR,12th/Diploma,13.305,1,Junior,Expert,1,1
Employee_53,36,17,Jaipur,Software Developer,B.Tech,13.305,2,Lead,Senior Career,3,3
Employee_54,29,9,Hyderabad,HR,PhD,13.305,1,Senior,Mid Career,5,1
Employee_55,35,6,Pune,Data Analyst,12th/Diploma,13.305,2,Mid,Mid Career,1,5
Employee_56,44,16,Hyderabad,ML Engineer,PhD,13.305,1,Lead,Senior Career,5,7
Employee_57,42,13,Mumbai,Data Analyst,B.Tech,4.14,1,Senior,Senior Career,3,5
Employee_58,37,23,Hyderabad,HR,PhD,15.26,1,Lead,Senior Career,5,1
Employee_59,39,2,Bangalore,Software Developer,B.Tech,6.43,1,Junior,Senior Career,3,3
Employee_60,45,11,Mumbai,Data Scientist,B.Tech,21.36,1,Senior,Senior Career,3,6
Employee_61,47,12,Jaipur,DevOps,MBA/M.Tech,10.88,2,Senior,Expert,4,4
Employee_62,46,1,Mumbai,DevOps,B.Tech,23.08,1,Fresher,Expert,3,4
Employee_63,50,2,Pune,HR,B.Tech,15.45,2,Junior,Expert,3,1
Employee_64,36,4,Delhi,Software Developer,Bachelor's,7.02,1,Junior,Senior Career,2,3
Employee_65,22,10,Jaipur,ML Engineer,12th/Diploma,6.07,2,Senior,Early Career,1,7
Employee_66,46,7,Mumbai,Data Analyst,MBA/M.Tech,15.68,1,Mid,Expert,4,5
Employee_67,28,22,Jaipur,Data Analyst,MBA/M.Tech,19.76,2,Lead,Mid Career,4,5
Employee_68,30,22,Jaipur,Data Analyst,MBA/M.Tech,20.19,2,Lead,Mid Career,4,5
Employee_69,45,11,Jaipur,ML Engineer,Bachelor's,9.07,2,Senior,Senior Career,2,7
Employee_70,22,6,Delhi,DevOps,B.Tech,7.49,1,Mid,Early Career,3,4
Employee_71,29,14,Hyderabad,Software Developer,12th/Diploma,3.37,1,Senior,Mid Career,1,3
Employee_72,45,23,Jaipur,ML Engineer,PhD,17.94,2,Lead,Senior Career,5,7
Employee_73,32,16,Bangalore,Data Analyst,B.Tech,4.68,1,Lead,Mid Career,3,5
Employee_74,38,3,Pune,HR,Bachelor's,12.26,2,Junior,Senior Career,2,1
Employee_75,29,21,Delhi,Data Scientist,B.Tech,16.24,1,Lead,Mid Career,3,6
Employee_76,54,24,Mumbai,ML Engineer,B.Tech,23.62,1,Lead,Expert,3,7
Employee_77,26,12,Delhi,ML Engineer,Bachelor's,9.86,1,Senior,Mid Career,2,7
Employee_78,49,17,Mumbai,Software Developer,MBA/M.Tech,8.49,1,Lead,Expert,4,3
Employee_79,28,0,Delhi,Software Developer,MBA/M.Tech,17.39,1,Fresher,Mid Career,4,3
Employee_80,30,15,Mumbai,ML Engineer,12th/Diploma,16.62,1,Senior,Mid Career,1,7
Employee_81,29,12,Jaipur,Data Analyst,12th/Diploma,10.31,2,Senior,Mid Career,1,5
Employee_82,33,9,Hyderabad,Data Scientist,MBA/M.Tech,23.42,1,Senior,Mid Career,4,6
Employee_83,54,11,Mumbai,Software Developer,PhD,21.59,1,Senior,Expert,5,3
Employee_84,44,1,Mumbai,Data Analyst,B.Tech,7.93,1,Fresher,Senior Career,3,5
Employee_85,45,22,Bangalore,HR,PhD,8.26,1,Lead,Senior Career,5,1
Employee_86,43,2,Mumbai,Software Developer,B.Tech,14.27,1,Junior,Senior Career,3,3
Employee_87,48,9,Bangalore,Data Analyst,MBA/M.Tech,20.02,1,Senior,Expert,4,5
Employee_88,22,1,Pune,Data Analyst,12th/Diploma,3.97,2,Fresher,Early Career,1,5
Employee_89,35,22,Jaipur,Data Scientist,12th/Diploma,18.25,2,Lead,Mid Career,1,6
Employee_90,24,12,Bangalore,Data Scientist,PhD,17.26,1,Senior,Early Career,5,6
Employee_91,22,12,Hyderabad,HR,12th/Diploma,8.09,1,Senior,Early Career,1,1
Employee_92,26,17,Jaipur,Data Analyst,MBA/M.Tech,17.99,2,Lead,Mid Career,4,5
Employee_93,47,2,Bangalore,DevOps,PhD,23.68,1,Junior,Expert,5,4
Employee_94,35,6,Jaipur,Data Analyst,B.Tech,4.03,2,Mid,Mid Career,3,5
Employee_95,48,13,Jaipur,Data Scientist,12th/Diploma,10.03,2,Senior,Expert,1,6
Employee_96,30,19,Jaipur,DevOps,Bachelor's,12.64,2,Lead,Mid Career,2,4
Employee_97,36,16,Pune,Software Developer,12th/Diploma,22.78,2,Lead,Senior Career,1,3
Employee_98,36,20,Hyderabad,Software Developer,B.Tech,24.17,1,Lead,Senior Career,3,3
Employee_99,47,11,Delhi,ML Engineer,PhD,12.77,1,Senior,Expert,5,7
Employee_100,34,24,Delhi,Data Scientist,B.Tech,19.5,1,Lead,Mid Career,3,6
Employee_101,53,15,Bangalore,ML Engineer,Bachelor's,14.7,1,Senior,Expert,2,7
Employee_102,53,23,Jaipur,DevOps,MBA/M.Tech,14.83,2,Lead,Expert,4,4
Employee_103,25,11,Bangalore,Data Scientist,12th/Diploma,9.12,1,Senior,Early Career,1,6
Employee_104,51,14,Pune,HR,PhD,7.77,2,Senior,Expert,5,1
Employee_105,44,24,Pune,Data Analyst,MBA/M.Tech,9.34,2,Lead,Senior Career,4,5
Employee_106,36,9,Mumbai,HR,B.Tech,15.24,1,Senior,Senior Career,3,1
Employee_107,50,24,Pune,DevOps,PhD,3.64,2,Lead,Expert,5,4
Employee_108,34,6,Mumbai,Data Scientist,MBA/M.Tech,22.96,1,Mid,Mid Career,4,6
Employee_109,53,19,Hyderabad,DevOps,PhD,6.44,1,Lead,Expert,5,4
Employee_110,28,4,Bangalore,Data Analyst,Bachelor's,7.84,1,Junior,Mid Career,2,5
Employee_111,43,0,Hyderabad,Software Developer,Bachelor's,14.4,1,Fresher,Senior Career,2,3
Employee_112,49,16,Pune,Software Developer,12th/Diploma,18.62,2,Lead,Expert,1,3
Employee_113,23,2,Hyderabad,DevOps,12th/Diploma,5.11,1,Junior,Early Career,1,4
Employee_114,27,12,Hyderabad,ML Engineer,Bachelor's,9.99,1,Senior,Mid Career,2,7
Employee_115,49,13,Hyderabad,Data Scientist,PhD,24.31,1,Senior,Expert,5,6
Employee_116,49,23,Pune,Data Scientist,Bachelor's,8.77,2,Lead,Expert,2,6
Employee_117,41,17,Jaipur,Software Developer,12th/Diploma,9.89,2,Lead,Senior Career,1,3
Employee_118,51,3,Hyderabad,HR,Bachelor's,21.4,1,Junior,Expert,2,1
Employee_119,32,17,Mumbai,Data Analyst,Bachelor's,4.1,1,Lead,Mid Career,2,5
Employee_120,49,4,Pune,HR,PhD,13.22,2,Junior,Expert,5,1
Employee_121,46,24,Hyderabad,HR,MBA/M.Tech,11.35,1,Lead,Expert,4,1
Employee_122,54,15,Jaipur,DevOps,12th/Diploma,9.96,2,Senior,Expert,1,4
Employee_123,22,0,Pune,Software Developer,PhD,9.29,2,Fresher,Early Career,5,3
Employee_124,48,20,Delhi,Software Developer,Bachelor's,5.01,1,Lead,Expert,2,3
Employee_125,34,13,Jaipur,Software Developer,Bachelor's,9.93,2,Senior,Mid Career,2,3
Employee_126,24,14,Mumbai,DevOps,MBA/M.Tech,3.95,1,Senior,Early Career,4,4
Employee_127,27,8,Hyderabad,ML Engineer,12th/Diploma,20.18,1,Mid,Mid Career,1,7
Employee_128,29,14,Delhi,HR,12th/Diploma,11.76,1,Senior,Mid Career,1,1
Employee_129,48,16,Delhi,DevOps,B.Tech,12.77,1,Lead,Expert,3,4
Employee_130,30,24,Pune,Data Scientist,12th/Diploma,22.66,2,Lead,Mid Career,1,6
Employee_131,54,23,Delhi,Data Analyst,MBA/M.Tech,17.48,1,Lead,Expert,4,5
Employee_132,45,3,Mumbai,ML Engineer,B.Tech,3.18,1,Junior,Senior Career,3,7
Employee_133,36,11,Mumbai,Data Scientist,B.Tech,23.75,1,Senior,Senior Career,3,6
Employee_134,53,4,Bangalore,HR,Bachelor's,8.22,1,Junior,Expert,2,1
Employee_135,53,4,Mumbai,Software Developer,Bachelor's,5.37,1,Junior,Expert,2,3
Employee_136,45,10,Jaipur,HR,12th/Diploma,19.9,2,Senior,Senior Career,1,1
Employee_137,33,5,Delhi,DevOps,B.Tech,14.01,1,Mid,Mid Career,3,4
Employee_138,23,6,Mumbai,Data Analyst,Bachelor's,12.54,1,Mid,Early Career,2,5
Employee_139,24,23,Pune,DevOps,MBA/M.Tech,8.49,2,Lead,Early Career,4,4
Employee_140,38,13,Bangalore,ML Engineer,Bachelor's,15.04,1,Senior,Senior Career,2,7
Employee_141,23,23,Delhi,ML Engineer,Bachelor's,9.04,1,Lead,Early Career,2,7
Employee_142,23,10,Bangalore,Data Analyst,B.Tech,22.83,1,Senior,Early Career,3,5
Employee_143,49,12,Delhi,Data Scientist,B.Tech,7.73,1,Senior,Expert,3,6
Employee_144,44,1,Pune,Data Scientist,PhD,22.46,2,Fresher,Senior Career,5,6
Employee_145,53,24,Bangalore,ML Engineer,MBA/M.Tech,15.31,1,Lead,Expert,4,7
Employee_146,54,6,Hyderabad,ML Engineer,B.Tech,21.23,1,Mid,Expert,3,7
Employee_147,22,19,Jaipur,Software Developer,12th/Diploma,18.68,2,Lead,Early Career,1,3
Employee_148,40,3,Jaipur,Data Scientist,MBA/M.Tech,18.33,2,Junior,Senior Career,4,6
Employee_149,23,7,Delhi,Data Analyst,MBA/M.Tech,10.14,1,Mid,Early Career,4,5
Employee_150,47,19,Hyderabad,Data Scientist,B.Tech,8.15,1,Lead,Expert,3,6
Employee_151,53,21,Bangalore,Software Developer,MBA/M.Tech,7.64,1,Lead,Expert,4,3
Employee_152,27,20,Hyderabad,DevOps,B.Tech,21.86,1,Lead,Mid Career,3,4
Employee_153,53,18,Hyderabad,ML Engineer,Bachelor's,21.05,1,Lead,Expert,2,7
Employee_154,25,12,Bangalore,ML Engineer,PhD,12.69,1,Senior,Early Career,5,7
Employee_155,32,13,Pune,Software Developer,Bachelor's,5.91,2,Senior,Mid Career,2,3
Employee_156,38,9,Hyderabad,Data Analyst,B.Tech,11.41,1,Senior,Senior Career,3,5
Employee_157,45,10,Hyderabad,ML Engineer,B.Tech,16.63,1,Senior,Senior Career,3,7
Employee_158,26,1,Pune,HR,Bachelor's,13.0,2,Fresher,Mid Career,2,1
Employee_159,27,24,Hyderabad,ML Engineer,12th/Diploma,20.16,1,Lead,Mid Career,1,7
Employee_160,43,8,Hyderabad,HR,12th/Diploma,24.95,1,Mid,Senior Career,1,1
Employee_161,32,16,Hyderabad,Software Developer,12th/Diploma,7.2,1,Lead,Mid Career,1,3
Employee_162,37,2,Jaipur,Software Developer,B.Tech,13.11,2,Junior,Senior Career,3,3
Employee_163,54,23,Mumbai,ML Engineer,MBA/M.Tech,12.48,1,Lead,Expert,4,7
Employee_164,30,5,Pune,Data Scientist,B.Tech,9.7,2,Mid,Mid Career,3,6
Employee_165,27,4,Hyderabad,HR,MBA/M.Tech,7.36,1,Junior,Mid Career,4,1
Employee_166,37,4,Jaipur,Data Analyst,Bachelor's,4.45,2,Junior,Senior Career,2,5
Employee_167,50,21,Pune,ML Engineer,PhD,22.52,2,Lead,Expert,5,7
Employee_168,24,14,Delhi,Data Analyst,MBA/M.Tech,12.24,1,Senior,Early Career,4,5
Employee_169,41,22,Delhi,ML Engineer,12th/Diploma,13.93,1,Lead,Senior Career,1,7
Employee_170,40,16,Hyderabad,Data Scientist,B.Tech,23.17,1,Lead,Senior Career,3,6
Employee_171,47,8,Jaipur,Data Scientist,Bachelor's,20.08,2,Mid,Expert,2,6
Employee_172,24,2,Jaipur,Data Scientist,12th/Diploma,5.87,2,Junior,Early Career,1,6
Employee_173,40,19,Pune,DevOps,Bachelor's,15.44,2,Lead,Senior Career,2,4
Employee_174,41,16,Pune,Data Scientist,PhD,12.73,2,Lead,Senior Career,5,6
Employee_175,53,9,Jaipur,Software Developer,B.Tech,20.54,2,Senior,Expert,3,3
Employee_176,28,2,Pune,Software Developer,B.Tech,18.93,2,Junior,Mid Career,3,3
Employee_177,54,17,Jaipur,DevOps,PhD,18.19,2,Lead,Expert,5,4
Employee_178,39,17,Mumbai,HR,B.Tech,10.49,1,Lead,Senior Career,3,1
Employee_179,22,16,Jaipur,Data Analyst,MBA/M.Tech,20.71,2,Lead,Early Career,4,5
Employee_180,32,23,Delhi,ML Engineer,Bachelor's,4.15,1,Lead,Mid Career,2,7
Employee_181,49,2,Pune,ML Engineer,12th/Diploma,6.51,2,Junior,Expert,1,7
Employee_182,46,2,Jaipur,DevOps,PhD,10.38,2,Junior,Expert,5,4
Employee_183,44,5,Jaipur,Software Developer,MBA/M.Tech,4.69,2,Mid,Senior Career,4,3
Employee_184,52,12,Pune,ML Engineer,12th/Diploma,8.17,2,Senior,Expert,1,7
Employee_185,51,23,Mumbai,Software Developer,12th/Diploma,21.26,1,Lead,Expert,1,3
Employee_186,28,14,Mumbai,HR,PhD,23.86,1,Senior,Mid Career,5,1
Employee_187,37,24,Pune,Data Analyst,MBA/M.Tech,9.7,2,Lead,Senior Career,4,5
Employee_188,47,8,Bangalore,HR,12th/Diploma,8.82,1,Mid,Expert,1,1
Employee_189,23,3,Pune,DevOps,12th/Diploma,9.16,2,Junior,Early Career,1,4
Employee_190,22,13,Pune,Data Scientist,MBA/M.Tech,9.11,2,Senior,Early Career,4,6
Employee_191,33,4,Mumbai,Data Scientist,B.Tech,3.79,1,Junior,Mid Career,3,6
